Belegnummer,Belegdatum,FilialeID,ProduktID,KundeID,Menge,Rabatt
B100001,2025-01-01,F1,P01,K0010,1,0.05
B100002,2025-01-01,F2,P10,K0047,2,0.05
B100003,2025-01-01,F3,P18,K0079,1,0.03
B100004,2025-01-01,F4,P15,K0158,1,0.05
B100005,2025-01-01,F4,P16,K0033,1,0.05
B100006,2025-01-01,F4,P11,K0014,1,0.0
B100007,2025-01-02,F3,P01,K0121,1,0.0
B100008,2025-01-02,F3,P08,K0093,2,0.05
B100009,2025-01-02,F3,P12,K0131,2,0.0
B100010,2025-01-02,F4,P17,K0157,1,0.03
B100011,2025-01-03,F1,P03,K0037,1,0.0
B100012,2025-01-03,F4,P09,K0137,3,0.0
B100013,2025-01-03,F4,P15,K0160,2,0.03
B100014,2025-01-04,F1,P01,K0040,1,0.08
B100015,2025-01-04,F2,P02,K0067,1,0.05
B100016,2025-01-04,F2,P01,K0137,1,0.0
B100017,2025-01-04,F3,P17,K0013,1,0.05
B100018,2025-01-04,F4,P12,K0160,2,0.0
B100019,2025-01-04,F4,P12,K0139,3,0.08
B100020,2025-01-04,F4,P11,K0023,3,0.1
B100021,2025-01-06,F1,P12,K0028,3,0.0
B100022,2025-01-06,F1,P04,K0032,1,0.05
B100023,2025-01-06,F1,P18,K0033,1,0.03
B100024,2025-01-06,F2,P01,K0055,1,0.1
B100025,2025-01-06,F3,P10,K0129,3,0.0
B100026,2025-01-06,F3,P05,K0098,1,0.03
B100027,2025-01-07,F1,P09,K0033,1,0.0
B100028,2025-01-07,F1,P18,K0027,1,0.05
B100029,2025-01-07,F3,P13,K0121,2,0.05
B100030,2025-01-07,F3,P18,K0129,1,0.0
B100031,2025-01-08,F2,P09,K0061,1,0.0
B100032,2025-01-08,F2,P14,K0049,1,0.03
B100033,2025-01-08,F4,P03,K0141,1,0.03
B100034,2025-01-09,F1,P10,K0016,3,0.05
B100035,2025-01-09,F1,P02,K0008,1,0.0
B100036,2025-01-09,F1,P11,K0014,2,0.03
