Personalnr,BereichID,Standort,Rolle,Beschaeftigung,FTE,Altersgruppe,Eintritt
00001,B01,Werk Ulm,Führungskraft,Teilzeit,0.50,unter 30,2016-03-01
00002,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2008-09-01
00003,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2023-04-01
00004,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2021-04-01
00005,B01,Werk Ulm,Mitarbeitende,Teilzeit,0.80,30–44,2017-10-01
00006,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2021-04-01
00007,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2019-06-01
00008,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2007-02-01
00009,B01,Werk Ulm,Mitarbeitende,Teilzeit,0.50,55+,2024-01-01
00010,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2020-11-01
00011,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,1998-07-01
00012,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,1999-07-01
00013,B01,Werk Ulm,Führungskraft,Vollzeit,1.00,45–54,1998-01-01
00014,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2004-07-01
00015,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2012-06-01
00016,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2005-03-01
00017,B01,Werk Kassel,Auszubildende,Vollzeit,1.00,unter 30,2024-09-01
00018,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2012-06-01
00019,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2017-07-01
00020,B01,Werk Ulm,Auszubildende,Vollzeit,1.00,unter 30,2023-09-01
00021,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2011-07-01
00022,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2016-01-01
00023,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2016-07-01
00024,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2006-06-01
00025,B01,Werk Ulm,Führungskraft,Vollzeit,1.00,30–44,2011-03-01
00026,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2023-05-01
00027,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2020-06-01
00028,B01,Werk Kassel,Mitarbeitende,Teilzeit,0.60,45–54,2015-04-01
00029,B01,Werk Kassel,Mitarbeitende,Teilzeit,0.75,30–44,2017-10-01
00030,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2016-11-01
00031,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2000-03-01
00032,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,1992-05-01
00033,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2017-05-01
00034,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2020-01-01
00035,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2004-07-01
00036,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2021-09-01
00037,B01,Werk Kassel,Führungskraft,Vollzeit,1.00,30–44,2022-06-01
00038,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2018-04-01
00039,B01,Werk Ulm,Mitarbeitende,Teilzeit,0.50,55+,2021-06-01
00040,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,1998-03-01
00041,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2005-06-01
00042,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2017-09-01
00043,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2020-01-01
00044,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2022-10-01
00045,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2003-09-01
00046,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,1998-02-01
00047,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2023-03-01
00048,B01,Werk Kassel,Auszubildende,Vollzeit,1.00,unter 30,2023-09-01
00049,B01,Werk Ulm,Führungskraft,Vollzeit,1.00,30–44,2023-01-01
00050,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2007-01-01
00051,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2016-12-01
00052,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2020-12-01
00053,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2017-10-01
00054,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2024-03-01
00055,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2013-08-01
00056,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2008-06-01
00057,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2010-03-01
00058,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2024-10-01
00059,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2010-11-01
00060,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2009-05-01
00061,B01,Werk Kassel,Führungskraft,Vollzeit,1.00,45–54,2021-09-01
00062,B01,Werk Kassel,Mitarbeitende,Teilzeit,0.75,55+,1990-01-01
00063,B01,Werk Ulm,Mitarbeitende,Teilzeit,0.80,30–44,2004-11-01
00064,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2005-11-01
00065,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2019-09-01
00066,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2003-11-01
00067,B01,Werk Ulm,Mitarbeitende,Teilzeit,0.60,30–44,2024-03-01
00068,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2011-06-01
00069,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2019-10-01
00070,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2021-01-01
00071,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2015-07-01
00072,B01,Werk Kassel,Auszubildende,Vollzeit,1.00,unter 30,2024-09-01
00073,B01,Werk Kassel,Führungskraft,Vollzeit,1.00,30–44,2009-01-01
00074,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2018-08-01
00075,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2023-05-01
00076,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2010-04-01
00077,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2018-05-01
00078,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2016-09-01
00079,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2021-09-01
00080,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2007-11-01
00081,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2022-03-01
00082,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,1999-11-01
00083,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2018-04-01
00084,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2023-02-01
00085,B01,Werk Ulm,Führungskraft,Vollzeit,1.00,45–54,2010-09-01
00086,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2018-07-01
00087,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2005-12-01
00088,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2024-06-01
00089,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2021-04-01
00090,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2023-08-01
00091,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2023-01-01
00092,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2008-12-01
00093,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2011-04-01
00094,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2016-04-01
00095,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2014-07-01
00096,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2021-02-01
00097,B01,Werk Kassel,Führungskraft,Vollzeit,1.00,45–54,2023-10-01
00098,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2004-05-01
00099,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,1999-11-01
00100,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2014-08-01
00101,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2002-08-01
00102,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2011-06-01
00103,B01,Werk Kassel,Mitarbeitende,Teilzeit,0.80,unter 30,2019-03-01
00104,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2010-09-01
00105,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2000-03-01
00106,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2019-03-01
00107,B01,Werk Kassel,Mitarbeitende,Teilzeit,0.50,55+,2024-10-01
00108,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2014-12-01
00109,B01,Werk Ulm,Führungskraft,Vollzeit,1.00,unter 30,2016-09-01
00110,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2018-05-01
00111,B01,Werk Kassel,Mitarbeitende,Teilzeit,0.60,unter 30,2018-09-01
00112,B01,Werk Kassel,Mitarbeitende,Teilzeit,0.60,30–44,2019-12-01
00113,B01,Werk Kassel,Auszubildende,Vollzeit,1.00,unter 30,2023-09-01
00114,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2013-09-01
00115,B01,Werk Ulm,Auszubildende,Vollzeit,1.00,unter 30,2024-09-01
00116,B01,Werk Kassel,Mitarbeitende,Teilzeit,0.60,30–44,2016-02-01
00117,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2012-02-01
00118,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,1994-10-01
00119,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2006-05-01
00120,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2016-05-01
00121,B01,Werk Ulm,Führungskraft,Vollzeit,1.00,30–44,2010-02-01
00122,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2020-02-01
00123,B01,Werk Ulm,Mitarbeitende,Teilzeit,0.50,unter 30,2016-11-01
00124,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2007-03-01
00125,B01,Werk Ulm,Auszubildende,Vollzeit,1.00,unter 30,2023-09-01
00126,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2022-12-01
00127,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2021-10-01
00128,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2022-08-01
00129,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2015-06-01
00130,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2009-04-01
00131,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2006-04-01
00132,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,1995-12-01
00133,B01,Werk Ulm,Führungskraft,Vollzeit,1.00,unter 30,2022-09-01
00134,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2010-08-01
00135,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,1991-02-01
00136,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2021-08-01
00137,B01,Werk Kassel,Auszubildende,Vollzeit,1.00,unter 30,2024-09-01
00138,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2012-06-01
00139,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2004-06-01
00140,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2004-06-01
00141,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2005-02-01
00142,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2003-06-01
00143,B01,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2015-11-01
00144,B01,Werk Kassel,Mitarbeitende,Teilzeit,0.50,30–44,2005-12-01
00145,B01,Werk Kassel,Führungskraft,Vollzeit,1.00,30–44,2005-03-01
00146,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2021-07-01
00147,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2022-07-01
00148,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2023-02-01
00149,B01,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,1997-02-01
00150,B01,Werk Kassel,Auszubildende,Vollzeit,1.00,unter 30,2023-09-01
00151,B02,Werk Ulm,Führungskraft,Vollzeit,1.00,30–44,2010-08-01
00152,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2017-03-01
00153,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2023-05-01
00154,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2022-05-01
00155,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2003-04-01
00156,B02,Werk Ulm,Mitarbeitende,Teilzeit,0.60,30–44,2015-06-01
00157,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2023-04-01
00158,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,1996-12-01
00159,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,1996-11-01
00160,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2011-09-01
00161,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2006-09-01
00162,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2023-05-01
00163,B02,Werk Ulm,Führungskraft,Vollzeit,1.00,30–44,2020-08-01
00164,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2024-10-01
00165,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2021-07-01
00166,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2017-01-01
00167,B02,Werk Ulm,Mitarbeitende,Teilzeit,0.75,unter 30,2023-06-01
00168,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2018-08-01
00169,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2016-10-01
00170,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2016-04-01
00171,B02,Werk Ulm,Mitarbeitende,Teilzeit,0.80,30–44,2007-02-01
00172,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2012-01-01
00173,B02,Werk Ulm,Auszubildende,Vollzeit,1.00,unter 30,2023-09-01
00174,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,1998-07-01
00175,B02,Werk Ulm,Führungskraft,Teilzeit,0.50,55+,2003-12-01
00176,B02,Werk Kassel,Mitarbeitende,Teilzeit,0.75,30–44,2010-05-01
00177,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2007-12-01
00178,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2018-12-01
00179,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2022-07-01
00180,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2013-05-01
