Bahnhof;Stadt;Bundesland;Größenklasse;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12
Aachen Hauptbahnhof;Aachen;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);715532;670251;785748;774820;785918;760219;760118;738724;762868;809126;772271;789405
Aschaffenburg Hauptbahnhof;Aschaffenburg;Bayern;C · Regionalbahnhof (unter 50.000/Tag);402538;385282;430238;429036;449500;431990;423221;403183;429364;446691;426527;452430
Augsburg Hauptbahnhof;Augsburg;Bayern;C · Regionalbahnhof (unter 50.000/Tag);1230401;1202268;1348021;1296403;1387176;1342837;1314834;1289619;1335440;1380100;1356796;1393605
Bamberg;Bamberg;Bayern;C · Regionalbahnhof (unter 50.000/Tag);431793;412397;465179;448928;476506;467316;454729;443162;462003;481809;454385;476793
Berlin Friedrichstraße;Berlin;Berlin;A · Metropolknoten (ab 200.000/Tag);7519553;6978497;8265403;8078722;8486261;7935390;8077841;7643712;8040337;8285126;8057415;8261743
Berlin Gesundbrunnen;Berlin;Berlin;A · Metropolknoten (ab 200.000/Tag);5792826;5508222;6276802;6053443;6566538;6182715;6317404;5988849;6313592;6373148;6215942;6505519
Berlin Hauptbahnhof;Berlin;Berlin;A · Metropolknoten (ab 200.000/Tag);9533380;8830451;10061294;10081686;10582370;10206408;9976001;9545188;10106428;10529658;10118762;10513374
Berlin Ostbahnhof;Berlin;Berlin;B · Großstadtbahnhof (50.000–199.999/Tag);2833236;2739035;3077408;3000374;3166364;3130411;3040458;2895613;3044300;3193882;3131053;3247866
Berlin Ostkreuz;Berlin;Berlin;A · Metropolknoten (ab 200.000/Tag);7185629;6924823;7848679;7686898;8204507;7847132;7859616;7527998;7867007;8205043;7794387;8123281
Berlin Potsdamer Platz;Berlin;Berlin;C · Regionalbahnhof (unter 50.000/Tag);871321;821603;932444;916678;947706;916306;907687;865568;936223;942710;924737;967017
Berlin Südkreuz;Berlin;Berlin;B · Großstadtbahnhof (50.000–199.999/Tag);5004836;4809723;5432970;5478568;5683732;5611942;5588926;5188736;5584395;5602345;5575561;5773266
Berlin Zoologischer Garten;Berlin;Berlin;B · Großstadtbahnhof (50.000–199.999/Tag);3647227;3396743;3828867;3862904;3952271;3848314;3821942;3647248;3832810;3957948;3844231;3984495
Berlin-Lichtenberg;Berlin;Berlin;B · Großstadtbahnhof (50.000–199.999/Tag);2431477;2356725;2618301;2586299;2708940;2613471;2602862;2518201;2607612;2708443;2584318;2688351
Berlin-Spandau;Berlin;Berlin;C · Regionalbahnhof (unter 50.000/Tag);1267603;1214438;1390584;1363956;1446011;1388188;1408037;1300322;1381874;1450505;1399625;1413857
Berlin-Wannsee;Berlin;Berlin;C · Regionalbahnhof (unter 50.000/Tag);856935;807200;940982;895366;969038;932323;925014;886445;908562;971955;913670;942510
Bielefeld Hauptbahnhof;Bielefeld;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);1143667;1096967;1230351;1232371;1273147;1228430;1245380;1146260;1217340;1259767;1247059;1279261
Bochum Hauptbahnhof;Bochum;Nordrhein-Westfalen;B · Großstadtbahnhof (50.000–199.999/Tag);1858728;1770682;1994200;1963262;2106701;2013222;1996081;1860410;2012769;2094972;1990767;2063206
Bonn Hauptbahnhof;Bonn;Nordrhein-Westfalen;B · Großstadtbahnhof (50.000–199.999/Tag);1942730;1806307;2110965;1992983;2151485;2103110;2069092;1921025;2067767;2175171;2014060;2100305
Braunschweig Hauptbahnhof;Braunschweig;Niedersachsen;B · Großstadtbahnhof (50.000–199.999/Tag);1894791;1783786;2074836;2004498;2077376;2049073;2046036;1886239;2052114;2104310;2005589;2111352
Bremen Hauptbahnhof;Bremen;Bremen;B · Großstadtbahnhof (50.000–199.999/Tag);4245108;4030401;4520720;4459273;4628548;4465768;4573358;4246818;4574335;4747047;4495190;4668434
Chemnitz Hauptbahnhof;Chemnitz;Sachsen;C · Regionalbahnhof (unter 50.000/Tag);374341;344663;406950;391982;418040;392145;403959;382334;406677;416197;398585;409127
Cottbus Hauptbahnhof;Cottbus;Brandenburg;C · Regionalbahnhof (unter 50.000/Tag);345691;326289;377446;369126;377455;372233;363664;352402;368772;385984;363771;377167
Darmstadt Hauptbahnhof;Darmstadt;Hessen;C · Regionalbahnhof (unter 50.000/Tag);1159382;1077579;1215241;1195952;1270290;1248981;1245550;1142210;1257459;1263921;1231642;1291793
Dortmund Hauptbahnhof;Dortmund;Nordrhein-Westfalen;B · Großstadtbahnhof (50.000–199.999/Tag);3645050;3480388;4061585;3922121;4128636;4058179;4060873;3782248;3974791;4112150;4013702;4210277
Dresden Hauptbahnhof;Dresden;Sachsen;B · Großstadtbahnhof (50.000–199.999/Tag);1711014;1621396;1845216;1809030;1918269;1878621;1854685;1744798;1862248;1946997;1807140;1900586
Dresden-Neustadt;Dresden;Sachsen;C · Regionalbahnhof (unter 50.000/Tag);736254;710342;802124;788359;827718;803882;803639;758418;797600;833574;803773;824317
Duisburg Hauptbahnhof;Duisburg;Nordrhein-Westfalen;B · Großstadtbahnhof (50.000–199.999/Tag);3758816;3533619;4087954;3994490;4201078;3961040;3931643;3795058;4068131;4119270;3912125;4086776
Düsseldorf Hauptbahnhof;Düsseldorf;Nordrhein-Westfalen;A · Metropolknoten (ab 200.000/Tag);6923630;6666883;7502964;7540202;7977650;7528142;7650306;7124371;7606789;7938001;7608235;7722827
Erfurt Hauptbahnhof;Erfurt;Thüringen;C · Regionalbahnhof (unter 50.000/Tag);1300238;1234846;1434840;1388343;1467780;1399159;1413747;1328333;1415806;1473787;1432806;1500315
Essen Hauptbahnhof;Essen;Nordrhein-Westfalen;B · Großstadtbahnhof (50.000–199.999/Tag);4358115;4174404;4648685;4661929;4773629;4715906;4601407;4505332;4742244;4781854;4643361;4873134
Flughafen BER;Schönefeld;Brandenburg;B · Großstadtbahnhof (50.000–199.999/Tag);3231477;3044555;3616106;3648909;3809023;3841785;4065798;4091865;3754425;3793043;3345377;3557637
Frankfurt (Main) Hauptbahnhof;Frankfurt am Main;Hessen;A · Metropolknoten (ab 200.000/Tag);13950036;13550144;15272076;14863332;15727739;15360933;15329230;14466097;15282716;15649909;15048461;15444327
Frankfurt (Main) Süd;Frankfurt am Main;Hessen;C · Regionalbahnhof (unter 50.000/Tag);636378;624183;705571;688535;720212;691647;687634;652153;683058;712278;693780;717071
Freiburg (Breisgau) Hauptbahnhof;Freiburg im Breisgau;Baden-Württemberg;B · Großstadtbahnhof (50.000–199.999/Tag);2148994;2025752;2294965;2227912;2433480;2358209;2257511;2159005;2311759;2407894;2339943;2409576
Fulda;Fulda;Hessen;C · Regionalbahnhof (unter 50.000/Tag);562320;542792;630032;611568;631047;614029;606253;579675;612699;644033;622709;642843
Fürth (Bayern) Hauptbahnhof;Fürth;Bayern;C · Regionalbahnhof (unter 50.000/Tag);287514;268492;313559;303223;314090;306387;310059;293195;313304;322886;300439;316852
Gelsenkirchen Hauptbahnhof;Gelsenkirchen;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);492870;480682;539647;525511;564741;541694;544283;504401;541484;565653;525477;561057
Gießen;Gießen;Hessen;C · Regionalbahnhof (unter 50.000/Tag);789750;758836;864554;851603;885376;861488;863346;826759;852256;899486;867205;899341
Göttingen;Göttingen;Niedersachsen;C · Regionalbahnhof (unter 50.000/Tag);1367416;1353617;1488675;1494801;1548140;1530385;1502069;1442851;1505458;1578058;1482659;1590871
Hagen Hauptbahnhof;Hagen;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);847280;826042;912117;920197;957904;912347;900999;883802;936068;965077;918316;969851
Halle (Saale) Hauptbahnhof;Halle (Saale);Sachsen-Anhalt;C · Regionalbahnhof (unter 50.000/Tag);1150742;1096492;1248008;1226476;1255103;1222112;1220255;1142764;1242657;1271149;1238928;1285314
Hamburg Dammtor;Hamburg;Hamburg;C · Regionalbahnhof (unter 50.000/Tag);1214368;1177606;1346878;1305452;1382922;1293798;1307984;1244189;1325685;1389675;1332012;1374431
Hamburg Hauptbahnhof;Hamburg;Hamburg;A · Metropolknoten (ab 200.000/Tag);15166809;14875272;16561459;16168452;17081816;16844997;16454502;15494393;16879283;16888722;16611851;16977444
Hamburg-Altona;Hamburg;Hamburg;B · Großstadtbahnhof (50.000–199.999/Tag);3909649;3728017;4342848;4169440;4368030;4317767;4312900;3976638;4236814;4334063;4211460;4462374
Hamburg-Harburg;Hamburg;Hamburg;B · Großstadtbahnhof (50.000–199.999/Tag);2301510;2171898;2477374;2447110;2523071;2450721;2470305;2354571;2464180;2565649;2410265;2563346
Hamm (Westfalen) Hauptbahnhof;Hamm;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);757137;738042;834537;820177;871343;835787;826751;796069;839613;865640;815555;854349
Hanau Hauptbahnhof;Hanau;Hessen;C · Regionalbahnhof (unter 50.000/Tag);581039;542384;618211;600730;636241;626534;603817;583043;621734;648544;605007;632716
