geo;Land;Jahr;Fahrten pro Kopf
CH;SCHWEIZ;2024;57,9
LU;LUXEMBURG;2024;46,2
AT;ÖSTERREICH;2024;35,6
DK;DÄNEMARK;2024;35,2
DE;DEUTSCHLAND;2024;35,1
HU;UNGARN;2024;31,9
SE;SCHWEDEN;2024;23,9
NL;NIEDERLANDE;2024;20,9
PT;PORTUGAL;2024;20,5
FR;FRANKREICH;2024;19,2
CZ;TSCHECHIEN;2024;17,5
FI;FINNLAND;2024;15,0
NO;NORWEGEN;2024;14,7
IT;ITALIEN;2024;14,3
ES;SPANIEN;2024;14,2
SK;SLOWAKEI;2024;13,3
PL;POLEN;2024;10,9
LV;LETTLAND;2024;10,4
IE;IRLAND;2024;9,4
SI;SLOWENIEN;2024;7,4
HR;KROATIEN;2024;6,4
EE;ESTLAND;2024;5,8
RO;RUMÄNIEN;2024;3,7
BG;BULGARIEN;2024;3,3
LT;LITAUEN;2024;1,8
EL;GRIECHENLAND;2024;1,4
ME;MONTENEGRO;2024;1,4
RS;SERBIEN;2024;1,2
TR;TÜRKEI;2024;0,3
BA;BOSNIEN UND HERZEGOWINA;2024;0,1
MK;NORDMAZEDONIEN;2024;0,1
