Kanton;Kantonsname;Hauptsprache;Amtssprachen
ZH;Zürich;Deutsch;Deutsch
BE;Bern;Deutsch;Deutsch, Französisch
LU;Luzern;Deutsch;Deutsch
UR;Uri;Deutsch;Deutsch
SZ;Schwyz;Deutsch;Deutsch
OW;Obwalden;Deutsch;Deutsch
NW;Nidwalden;Deutsch;Deutsch
GL;Glarus;Deutsch;Deutsch
ZG;Zug;Deutsch;Deutsch
FR;Freiburg;Französisch;Französisch, Deutsch
SO;Solothurn;Deutsch;Deutsch
BS;Basel-Stadt;Deutsch;Deutsch
BL;Basel-Landschaft;Deutsch;Deutsch
SH;Schaffhausen;Deutsch;Deutsch
AR;Appenzell Ausserrhoden;Deutsch;Deutsch
AI;Appenzell Innerrhoden;Deutsch;Deutsch
SG;St. Gallen;Deutsch;Deutsch
GR;Graubünden;Deutsch;Deutsch, Rätoromanisch, Italienisch
AG;Aargau;Deutsch;Deutsch
TG;Thurgau;Deutsch;Deutsch
TI;Tessin;Italienisch;Italienisch
VD;Waadt;Französisch;Französisch
VS;Wallis;Französisch;Französisch, Deutsch
NE;Neuenburg;Französisch;Französisch
GE;Genf;Französisch;Französisch
JU;Jura;Französisch;Französisch
