Land;2026;2027;2028;2029;2030
Schweiz;61,4;63,3;65,2;67,1;69,1
Luxemburg;49,0;50,5;52,0;53,6;55,2
Österreich;37,8;38,9;40,1;41,3;42,5
Dänemark;37,3;38,5;39,6;40,8;42,0
Deutschland;37,2;38,4;39,5;40,7;41,9
Ungarn;33,8;34,9;35,9;37,0;38,1
Schweden;25,4;26,1;26,9;27,7;28,5
Niederlande;22,2;22,8;23,5;24,2;25,0
Portugal;21,7;22,4;23,1;23,8;24,5
Frankreich;20,4;21,0;21,6;22,3;22,9
Tschechien;18,6;19,1;19,7;20,3;20,9
Finnland;15,9;16,4;16,9;17,4;17,9
Norwegen;15,6;16,1;16,5;17,0;17,6
Italien;15,2;15,6;16,1;16,6;17,1
Spanien;15,1;15,5;16,0;16,5;17,0
Slowakei;14,1;14,5;15,0;15,4;15,9
Polen;11,6;11,9;12,3;12,6;13,0
Lettland;11,0;11,4;11,7;12,1;12,4
Irland;10,0;10,3;10,6;10,9;11,2
Slowenien;7,9;8,1;8,3;8,6;8,8
Kroatien;6,8;7,0;7,2;7,4;7,6
Estland;6,2;6,3;6,5;6,7;6,9
Rumänien;3,9;4,0;4,2;4,3;5,0
Bulgarien;3,5;3,6;3,7;3,8;5,0
Litauen;1,9;2,0;2,0;2,1;5,0
Griechenland;1,5;1,5;1,6;1,6;5,0
Montenegro;1,5;1,5;1,6;1,6;5,0
Serbien;1,3;1,3;1,4;1,4;5,0
Türkei;0,3;0,3;0,3;0,3;5,0
Bosnien und Herzegowina;0,1;0,1;0,1;0,1;5,0
Nordmazedonien;0,1;0,1;0,1;0,1;5,0
