Kursnr,Kurstitel,Kategorie,Format,Anbieter,Pflicht,Dauer_h,Listenpreis
K-001,Datenschutz-Grundlagen,Pflicht & Compliance,E-Learning,intern,Ja,1.0,0.00
K-002,Arbeitsschutz-Unterweisung,Pflicht & Compliance,Präsenz,intern,Ja,2.0,0.00
K-003,Verhaltenskodex & Compliance,Pflicht & Compliance,E-Learning,intern,Ja,1.0,0.00
K-101,Excel Aufbau,IT & Digital,Online,extern,Nein,8.0,290.00
K-102,Power BI Grundlagen,IT & Digital,Präsenz,extern,Nein,16.0,890.00
K-103,KI im Arbeitsalltag,IT & Digital,Online,intern,Nein,4.0,0.00
K-104,IT-Sicherheit für alle,IT & Digital,E-Learning,intern,Nein,2.0,0.00
K-105,Cloud-Architektur Zertifizierung,IT & Digital,Blended,extern,Nein,32.0,2450.00
K-106,SAP S/4 Anwendertraining,IT & Digital,Präsenz,intern,Nein,8.0,0.00
K-201,Führung Basis,Führung,Präsenz,extern,Nein,24.0,1650.00
K-202,Konfliktgespräche führen,Führung,Präsenz,extern,Nein,8.0,690.00
K-203,Feedback & Mitarbeitergespräch,Führung,Online,intern,Nein,4.0,0.00
K-301,Lean Production,Fachlich,Präsenz,extern,Nein,16.0,980.00
K-302,CNC-Programmierung,Fachlich,Präsenz,extern,Nein,24.0,1390.00
K-303,Schweißtechnik Auffrischung,Fachlich,Präsenz,extern,Nein,16.0,740.00
K-304,Qualitätsmanagement ISO 9001,Fachlich,Blended,extern,Nein,12.0,820.00
K-305,Projektmanagement Basis,Fachlich,Online,extern,Nein,16.0,950.00
K-306,Verhandlungstraining Vertrieb,Fachlich,Präsenz,extern,Nein,16.0,1480.00
K-307,Technischer Vertrieb Intensiv,Fachlich,Präsenz,extern,Nein,24.0,2100.00
K-401,Staplerschein,Arbeitssicherheit,Präsenz,extern,Nein,16.0,420.00
K-402,Erste Hilfe,Arbeitssicherheit,Präsenz,extern,Nein,9.0,65.00
K-501,Business English B1,Sprachen,Online,extern,Nein,20.0,560.00
K-502,Deutsch am Arbeitsplatz,Sprachen,Präsenz,extern,Nein,20.0,380.00
