BuchungsID;Personalnr;Kursnr;Kurstitel;Buchungsdatum;Kursbeginn;Kursende;Status;Stunden;Kosten;Feedback
253170;396;K-002;Arbeitsschutz-Unterweisung;04.11.2024;03.01.2025;03.01.2025;abgeschlossen;2;0,00 €;
252191;273;K-001;Datenschutz-Grundlagen;06.11.2024;03.01.2025;03.01.2025;teilgenommen;1;0,00 €;
253207;400;K-003;Verhaltenskodex & Compliance;06.11.2024;03.01.2025;03.01.2025;Abgeschlossen;1;0,00 €;4
252731;343;K-003;Verhaltenskodex & Compliance;08.11.2024;06.01.2025;06.01.2025;abgeschlossen;1;0,00 €;4
251734;213;K-003;Verhaltenskodex & Compliance;11.11.2024;07.01.2025;07.01.2025;abgeschlossen;1;0,00 €;3
252602;325;K-002;Arbeitsschutz-Unterweisung;11.11.2024;06.01.2025;06.01.2025;abgeschlossen;2;0,00 €;5
252080;258;K-003;Verhaltenskodex & Compliance;12.11.2024;02.01.2025;02.01.2025;teilgenommen;1;0,00 €;
252800;352;K-003;Verhaltenskodex & Compliance;12.11.2024;02.01.2025;02.01.2025;abgeschlossen;1;0,00 €;4
253020;378;K-002;Arbeitsschutz-Unterweisung;13.11.2024;06.01.2025;06.01.2025;teilgenommen;2;0,00 €;5
253152;394;K-003;Verhaltenskodex & Compliance;13.11.2024;07.01.2025;07.01.2025;abgeschlossen;1;0,00 €;4
251178;146;K-003;Verhaltenskodex & Compliance;15.11.2024;03.01.2025;03.01.2025;abgeschlossen;1;0,00 €;4
253240;405;K-002;Arbeitsschutz-Unterweisung;17.11.2024;10.01.2025;10.01.2025;abgeschlossen;2;0,00 €;2
251169;145;K-202;Konfliktgespräche führen;20.11.2024;03.01.2025;03.01.2025;teilgenommen;8;664,88 €;
252955;370;K-003;Verhaltenskodex & Compliance;20.11.2024;15.01.2025;15.01.2025;abgeschlossen;1;0,00 €;2
251549;191;K-002;Arbeitsschutz-Unterweisung;21.11.2024;14.01.2025;14.01.2025;abgeschlossen;2;0,00 €;
252467;308;K-001;Datenschutz-Grundlagen;21.11.2024;14.01.2025;14.01.2025;abgeschlossen;1;0,00 €;4
250263;34;K-302;CNC-Programmierung;22.11.2024;08.01.2025;10.01.2025;storniert;0;668,02 €;
250825;105;K-001;Datenschutz-Grundlagen;22.11.2024;16.01.2025;16.01.2025;Abgeschlossen;1;0,00 €;
251125;140;K-003;Verhaltenskodex & Compliance;22.11.2024;15.01.2025;15.01.2025;teilgenommen;1;0,00 €;2
253137;393;K-002;Arbeitsschutz-Unterweisung;23.11.2024;16.01.2025;16.01.2025;Abgeschlossen;2;0,00 €;3
251289;160;K-002;Arbeitsschutz-Unterweisung;24.11.2024;10.01.2025;10.01.2025;abgeschlossen;2;0,00 €;
251291;160;K-003;Verhaltenskodex & Compliance;24.11.2024;03.01.2025;03.01.2025;abgeschlossen;1;0,00 €;
251523;188;K-502;Deutsch am Arbeitsplatz;24.11.2024;02.01.2025;03.01.2025;abgeschlossen;20;388,70 €;4
252552;319;K-003;Verhaltenskodex & Compliance;25.11.2024;14.01.2025;14.01.2025;teilgenommen;1;0,00 €;
252606;325;K-501;Business English B1;25.11.2024;20.01.2025;21.01.2025;abgeschlossen;20;576,24 €;4
250584;74;K-003;Verhaltenskodex & Compliance;26.11.2024;07.01.2025;07.01.2025;teilgenommen;1;0,00 €;
252337;292;K-001;Datenschutz-Grundlagen;26.11.2024;16.01.2025;16.01.2025;abgeschlossen;1;0,00 €;4
252748;346;K-002;Arbeitsschutz-Unterweisung;26.11.2024;20.01.2025;20.01.2025;Abgeschlossen;2;0,00 €;3
251394;173;K-401;Staplerschein;27.11.2024;03.01.2025;04.01.2025;abgeschlossen;16;431,64 €;
251616;199;K-201;Führung Basis;27.11.2024;20.01.2025;22.01.2025;abgeschlossen;24;1.725,50 €;
253116;390;K-003;Verhaltenskodex & Compliance;28.11.2024;13.01.2025;13.01.2025;Abgeschlossen;1;0,00 €;
253336;417;K-106;SAP S/4 Anwendertraining;28.11.2024;14.01.2025;14.01.2025;abgeschlossen;8;0,00 €;3
250025;3;K-303;Schweißtechnik Auffrischung;29.11.2024;08.01.2025;09.01.2025;ABGESCHLOSSEN ;16;725,24 €;
252616;327;K-003;Verhaltenskodex & Compliance;29.11.2024;23.01.2025;23.01.2025;ABGESCHLOSSEN ;1;0,00 €;
252949;369;K-104;IT-Sicherheit für alle;29.11.2024;10.01.2025;10.01.2025;ABGESCHLOSSEN ;2;0,00 €;3
252988;374;K-001;Datenschutz-Grundlagen;29.11.2024;20.01.2025;20.01.2025;abgeschlossen;1;0,00 €;4
253172;396;K-003;Verhaltenskodex & Compliance;29.11.2024;16.01.2025;16.01.2025;abgeschlossen;1;0,00 €;4
250294;37;K-301;Lean Production;30.11.2024;28.01.2025;29.01.2025;abgeschlossen;16;1.027,39 €;5
251389;173;K-001;Datenschutz-Grundlagen;01.12.2024;28.01.2025;28.01.2025;ABGESCHLOSSEN ;1;0,00 €;
252948;369;K-003;Verhaltenskodex & Compliance;01.12.2024;03.01.2025;03.01.2025;abgeschlossen;1;0,00 €;
251579;195;K-106;SAP S/4 Anwendertraining;02.12.2024;06.01.2025;06.01.2025;No-Show;0;0,00 €;
252809;354;K-001;Datenschutz-Grundlagen;02.12.2024;28.01.2025;28.01.2025;abgeschlossen;1;0,00 €;
253078;385;K-003;Verhaltenskodex & Compliance;03.12.2024;14.01.2025;14.01.2025;abgeschlossen;1;0,00 €;3
251260;155;K-003;Verhaltenskodex & Compliance;04.12.2024;07.01.2025;07.01.2025;abgeschlossen;1;0,00 €;3
252542;318;K-002;Arbeitsschutz-Unterweisung;04.12.2024;30.01.2025;30.01.2025;abgeschlossen;2;0,00 €;3
