Export RT-Kasse v4.2 | Rad & Tat GmbH | erstellt 2026-01-02 06:00 | alle Filialen
Belegnummer,Belegdatum,Filiale,Kategorie,Produkt,Menge,Umsatz,Kosten
B100001,2025-01-01,Hamburg,Fahrräder,Stadtrad Classic,1,616.55,410.00
B100002,2025-01-01,Köln,zubehör,Fahrradtasche,2,169.10,88.00
B100003,2025-01-01,München,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100004,2025-01-01,Leipzig,Bekleidung,Handschuhe,1,28.40,11.50
B100005,2025-01-01,Leipzig,Werkstatt,Inspektion Standard,1,84.55,52.00
B100006,2025-01-01,Leipzig,Zubehör,Lichtset LED,1,39.90,16.80
B100007,2025-01-02,München,Fahrräder,Stadtrad Classic,1,649.00,410.00
B100008,2025-01-02,München,Zubehör,Helm Urban,2,151.81,76.00
B100009,2025-01-02,München,Zubehör,Luftpumpe,2,49.80,19.80
B100010,2025-01-02,Leipzig,Werkstatt,Inspektion E-Bike,1,144.53,88.00
B100011,2025-01-03,Hamburg,Fahrräder,Gravelbike Kies,1,1299.00,830.00
B100012,2025-01-03,Leipzig,Zubehör,Faltschloss,3,179.70,82.50
B100013,2025-01-03,Leipzig,Bekleidung,Handschuhe,2,58.01,23.00
B100014,2025-01-04,Hamburg  ,Fahrräder,Stadtrad Classic,1,597.08,410.00
B100015,2025-01-04,Köln,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B100016,2025-01-04,Köln  ,Fahrräder,Stadtrad Classic,1,649.00,410.00
B100017,2025-01-04,München,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100018,2025-01-04,Leipzig,Zubehör,Luftpumpe,2,49.80,19.80
B100019,2025-01-04,Leipzig,Zubehör,Luftpumpe,3,68.72,29.70
B100020,2025-01-04,Leipzig,Zubehör,Lichtset LED,3,107.73,50.40
B100021,2025-01-06,Hamburg,Zubehör,Luftpumpe,3,74.70,29.70
B100022,2025-01-06,Hamburg,Fahrräder,Kinderrad 20 Zoll,1,312.55,205.00
B100023,2025-01-06,Hamburg,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100024,2025-01-06,Köln,fahrräder,Stadtrad Classic,1,584.10,410.00
B100025,2025-01-06,München,Zubehör,Fahrradtasche,3,267.00,132.00
B100026,2025-01-06,München,E-Bikes,E-Bike City,1,2424.03,1690.00
B100027,2025-01-07,Hamburg,Zubehör,Faltschloss,1,59.90,27.50
B100028,2025-01-07,Hamburg,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100029,2025-01-07,München ,Bekleidung,Regenjacke,2,245.10,122.00
B100030,2025-01-07,München,werkstatt,Schlauchwechsel,1,19.90,9.00
B100031,2025-01-08,Köln,Zubehör,Faltschloss,1,59.90,27.50
B100032,2025-01-08,Köln,Bekleidung,Radhose,1,66.93,29.00
B100033,2025-01-08,Leipzig,Fahrräder,Gravelbike Kies,1,1260.03,830.00
B100034,2025-01-09,Hamburg,Zubehör,Fahrradtasche,3,253.65,132.00
B100035,2025-01-09,Hamburg,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100036,2025-01-09,Hamburg,Zubehör,Lichtset LED,2,77.41,33.60
B100037,2025-01-09,Köln,Bekleidung,Radhose,2,131.10,58.00
B100038,2025-01-09,Köln,Zubehör,Luftpumpe,2,44.82,19.80
B100039,2025-01-09,Köln,Zubehör,Lichtset LED,3,110.12,50.40
B100040,2025-01-09,München ,Zubehör,Helm Urban,1,79.90,38.00
B100041,2025-01-09,München,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100042,2025-01-10,Hamburg,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B100043,2025-01-10,Hamburg,zubehör,Lichtset LED,2,77.41,33.60
B100044,2025-01-10,München ,werkstatt,Inspektion E-Bike,1,134.10,88.00
B100045,2025-01-10,München,Zubehör,Faltschloss,1,56.90,27.50
B100046,2025-01-10,München,Werkstatt,Inspektion Standard,1,80.10,52.00
B100047,2025-01-10,München ,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B100048,2025-01-11,Hamburg,Werkstatt,Inspektion Standard,1,84.55,52.00
B100049,2025-01-11,Hamburg,Zubehör,Fahrradtasche,1,84.55,44.00
B100050,2025-01-11,Köln,Zubehör,Helm Urban,1,79.90,38.00
B100051,2025-01-11,München,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100052,2025-01-11,München,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100053,2025-01-11,München,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100054,2025-01-13,Köln,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100055,2025-01-14,Hamburg,Werkstatt,Schlauchwechsel,1,17.91,9.00
B100056,2025-01-14,München,Zubehör,Faltschloss,2,113.81,55.00
B100057,2025-01-15,Hamburg,Zubehör,Faltschloss,3,170.71,82.50
B100058,2025-01-15,Hamburg,Zubehör,Helm Urban,3,239.70,114.00
B100059,2025-01-15,Köln,Bekleidung,Radhose,1,65.55,29.00
B100060,2025-01-15,Köln,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100061,2025-01-16,Köln,Fahrräder,Gravelbike Kies,1,1299.00,830.00
B100062,2025-01-16,München,E-Bikes,E-Lastenrad,1,4990.00,3490.00
B100063,2025-01-16,München,Fahrräder,Gravelbike Kies,1,1299.00,830.00
B100064,2025-01-16,Leipzig,Bekleidung,Regenjacke,1,122.55,61.00
B100065,2025-01-17,Hamburg,Fahrräder,Stadtrad Classic,1,616.55,410.00
B100066,2025-01-17,Leipzig,Fahrräder,Trekkingrad Tour,1,872.03,560.00
B100067,2025-01-18,Hamburg,Zubehör,Faltschloss,3,170.71,82.50
B100068,2025-01-18,Hamburg,Zubehör,Lichtset LED,3,113.71,50.40
B100069,2025-01-18,Köln,Bekleidung,Handschuhe,1,29.00,11.50
B100070,2025-01-18,München,Zubehör,Lichtset LED,2,77.41,33.60
B100071,2025-01-18,München,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100072,2025-01-18,Leipzig,Zubehör,Luftpumpe,3,74.70,29.70
B100073,2025-01-20,Köln,Werkstatt,Inspektion Standard,1,80.10,52.00
,,,,,,,
B100074,2025-01-20,München,Zubehör,Helm Urban,3,227.72,114.00
B100075,2025-01-20,München,Zubehör,Helm Urban,1,71.91,38.00
B100076,2025-01-20,München,Zubehör,Lichtset LED,3,107.73,50.40
B100077,2025-01-20,Leipzig,Werkstatt,Schlauchwechsel,1,18.31,9.00
B100078,2025-01-21,Hamburg,Werkstatt,Inspektion Standard,1,89.00,52.00
B100079,2025-01-21,Hamburg,E-Bikes,E-Lastenrad,1,4740.50,3490.00
B100080,2025-01-21,München,Bekleidung,Radhose,2,138.00,58.00
B100081,2025-01-21,München,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100082,2025-01-21,München,Zubehör,Fahrradtasche,3,267.00,132.00
B100083,2025-01-21,München,Zubehör,Fahrradtasche,2,172.66,88.00
B100084,2025-01-22,Hamburg,Bekleidung,Radhose,1,65.55,29.00
B100085,2025-01-23,Hamburg,Zubehör,Faltschloss,2,113.81,55.00
B100086,2025-01-23,München,zubehör,Faltschloss,2,119.80,55.00
B100087,2025-01-23,Leipzig,fahrräder,Stadtrad Classic,1,649.00,410.00
B100088,2025-01-23,Leipzig,Fahrräder,Gravelbike Kies,1,1169.10,830.00
B100089,2025-01-24,Hamburg,Zubehör,Lichtset LED,3,119.70,50.40
B100090,2025-01-24,Hamburg,Bekleidung,Regenjacke,2,258.00,122.00
B100091,2025-01-24,Hamburg,werkstatt,Schlauchwechsel,1,18.90,9.00
B100092,2025-01-24,Köln,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100093,2025-01-24,München,Fahrräder,Kinderrad 20 Zoll,1,312.55,205.00
